"uuid","muniid","municipality","hosp_number","population","hosp_number_per_inhabitants","date"
"1963-20200402","1963","Hoeksche Waard",35,87461,40,"2020-04-02"
"1735-20200402","1735","Hof van Twente",10,35013,28.6,"2020-04-02"
"1911-20200402","1911","Hollands Kroon",21,48434,43.4,"2020-04-02"
"118-20200402","118","Hoogeveen",5,55697,9,"2020-04-02"
"405-20200402","405","Hoorn",16,73232,21.8,"2020-04-02"
"1507-20200402","1507","Horst aan de Maas",29,42433,68.3,"2020-04-02"
"321-20200402","321","Houten",12,50146,23.9,"2020-04-02"
"406-20200402","406","Huizen",12,41273,29.1,"2020-04-02"
"677-20200402","677","Hulst",4,27556,14.5,"2020-04-02"
"353-20200402","353","IJsselstein",21,34110,61.6,"2020-04-02"
"1884-20200402","1884","Kaag en Braassem",4,27300,14.7,"2020-04-02"
"166-20200402","166","Kampen",38,54340,69.9,"2020-04-02"
"678-20200402","678","Kapelle",1,12691,7.9,"2020-04-02"
"537-20200402","537","Katwijk",11,65754,16.7,"2020-04-02"
"928-20200402","928","Kerkrade",30,45744,65.6,"2020-04-02"
"1598-20200402","1598","Koggenland",6,22752,26.4,"2020-04-02"
"542-20200402","542","Krimpen aan den IJssel",4,29533,13.5,"2020-04-02"
"1931-20200402","1931","Krimpenerwaard",28,56319,49.7,"2020-04-02"
"1659-20200402","1659","Laarbeek",24,22530,106.5,"2020-04-02"
"1685-20200402","1685","Landerd",22,15730,139.9,"2020-04-02"
"882-20200402","882","Landgraaf",22,37457,58.7,"2020-04-02"
"415-20200402","415","Landsmeer",3,11492,26.1,"2020-04-02"
"416-20200402","416","Langedijk",8,28157,28.4,"2020-04-02"
"1621-20200402","1621","Lansingerland",18,62396,28.8,"2020-04-02"
"417-20200402","417","Laren",7,11274,62.1,"2020-04-02"
"80-20200402","80","Leeuwarden",21,124058,16.9,"2020-04-02"
"546-20200402","546","Leiden",18,125174,14.4,"2020-04-02"
"547-20200402","547","Leiderdorp",5,27059,18.5,"2020-04-02"
"1916-20200402","1916","Leidschendam-Voorburg",8,76553,10.5,"2020-04-02"
"995-20200402","995","Lelystad",27,78619,34.3,"2020-04-02"
"1640-20200402","1640","Leudal",35,35896,97.5,"2020-04-02"
"327-20200402","327","Leusden",5,30399,16.4,"2020-04-02"
"1705-20200402","1705","Lingewaard",18,46606,38.6,"2020-04-02"
"553-20200402","553","Lisse",3,22957,13.1,"2020-04-02"
"262-20200402","262","Lochem",3,33730,8.9,"2020-04-02"
"809-20200402","809","Loon op Zand",15,23407,64.1,"2020-04-02"
"331-20200402","331","Lopik",10,14471,69.1,"2020-04-02"
"24-20200402","24","Loppersum",0,9533,0,"2020-04-02"
"168-20200402","168","Losser",3,22685,13.2,"2020-04-02"
"263-20200402","263","Maasdriel",11,25034,43.9,"2020-04-02"
"1641-20200402","1641","Maasgouw",13,23960,54.3,"2020-04-02"
"556-20200402","556","Maassluis",9,33216,27.1,"2020-04-02"
"935-20200402","935","Maastricht",77,121558,63.3,"2020-04-02"
"420-20200402","420","Medemblik",10,45104,22.2,"2020-04-02"
"938-20200402","938","Meerssen",7,18832,37.2,"2020-04-02"
"1948-20200402","1948","Meierijstad",124,81197,152.7,"2020-04-02"
"119-20200402","119","Meppel",4,33902,11.8,"2020-04-02"
"687-20200402","687","Middelburg",12,48810,24.6,"2020-04-02"
"1842-20200402","1842","Midden-Delfland",3,19344,15.5,"2020-04-02"
"1731-20200402","1731","Midden-Drenthe",4,33182,12.1,"2020-04-02"
"1952-20200402","1952","Midden-Groningen",4,60804,6.6,"2020-04-02"
"815-20200402","815","Mill en Sint Hubert",6,10941,54.8,"2020-04-02"
"1709-20200402","1709","Moerdijk",6,37136,16.2,"2020-04-02"
"1978-20200402","1978","Molenlanden",10,43931,22.8,"2020-04-02"
"1955-20200402","1955","Montferland",4,36009,11.1,"2020-04-02"
"335-20200402","335","Montfoort",9,13920,64.7,"2020-04-02"
"944-20200402","944","Mook en Middelaar",3,7847,38.2,"2020-04-02"
"1740-20200402","1740","Neder-Betuwe",26,24342,106.8,"2020-04-02"
"946-20200402","946","Nederweert",24,17022,141,"2020-04-02"
"356-20200402","356","Nieuwegein",20,63461,31.5,"2020-04-02"
"569-20200402","569","Nieuwkoop",5,28809,17.4,"2020-04-02"
"267-20200402","267","Nijkerk",14,43176,32.4,"2020-04-02"
"268-20200402","268","Nijmegen",83,177698,46.7,"2020-04-02"
"1930-20200402","1930","Nissewaard",22,85237,25.8,"2020-04-02"
"1970-20200402","1970","Noardeast-Fryslân",4,45251,8.8,"2020-04-02"
"1695-20200402","1695","Noord-Beveland",0,7395,0,"2020-04-02"
"1699-20200402","1699","Noordenveld",1,31242,3.2,"2020-04-02"
"171-20200402","171","Noordoostpolder",7,47262,14.8,"2020-04-02"
"575-20200402","575","Noordwijk",8,43528,18.4,"2020-04-02"
"820-20200402","820","Nuenen, Gerwen en Nederwetten",11,23379,47.1,"2020-04-02"
"302-20200402","302","Nunspeet",19,27845,68.2,"2020-04-02"
"579-20200402","579","Oegstgeest",3,24843,12.1,"2020-04-02"
"823-20200402","823","Oirschot",6,18723,32,"2020-04-02"
"824-20200402","824","Oisterwijk",10,26241,38.1,"2020-04-02"
"1895-20200402","1895","Oldambt",1,38213,2.6,"2020-04-02"
"269-20200402","269","Oldebroek",8,23645,33.8,"2020-04-02"
"173-20200402","173","Oldenzaal",10,31832,31.4,"2020-04-02"
"1773-20200402","1773","Olst-Wijhe",6,18251,32.9,"2020-04-02"
"175-20200402","175","Ommen",6,18007,33.3,"2020-04-02"
"1586-20200402","1586","Oost Gelre",2,29623,6.8,"2020-04-02"
"826-20200402","826","Oosterhout",25,55990,44.7,"2020-04-02"
"85-20200402","85","Ooststellingwerf",1,25472,3.9,"2020-04-02"
"431-20200402","431","Oostzaan",4,9733,41.1,"2020-04-02"
"432-20200402","432","Opmeer",1,11837,8.4,"2020-04-02"
"86-20200402","86","Opsterland",4,29742,13.4,"2020-04-02"
"828-20200402","828","Oss",86,91932,93.5,"2020-04-02"
"1509-20200402","1509","Oude IJsselstreek",3,39392,7.6,"2020-04-02"
"437-20200402","437","Ouder-Amstel",4,14029,28.5,"2020-04-02"
"589-20200402","589","Oudewater",16,10226,156.5,"2020-04-02"
"1734-20200402","1734","Overbetuwe",39,47909,81.4,"2020-04-02"
"590-20200402","590","Papendrecht",1,32133,3.1,"2020-04-02"
"1894-20200402","1894","Peel en Maas",109,43420,251,"2020-04-02"
"765-20200402","765","Pekela",4,12199,32.8,"2020-04-02"
"1926-20200402","1926","Pijnacker-Nootdorp",10,55329,18.1,"2020-04-02"
"439-20200402","439","Purmerend",38,81233,46.8,"2020-04-02"
"273-20200402","273","Putten",1,24113,4.1,"2020-04-02"
"177-20200402","177","Raalte",18,37709,47.7,"2020-04-02"
"703-20200402","703","Reimerswaal",4,22728,17.6,"2020-04-02"
"274-20200402","274","Renkum",11,31404,35,"2020-04-02"
"339-20200402","339","Renswoude",1,5448,18.4,"2020-04-02"
"1667-20200402","1667","Reusel-De Mierden",5,13110,38.1,"2020-04-02"
"275-20200402","275","Rheden",24,43736,54.9,"2020-04-02"
"340-20200402","340","Rhenen",3,20125,14.9,"2020-04-02"
"597-20200402","597","Ridderkerk",23,46204,49.8,"2020-04-02"
"1742-20200402","1742","Rijssen-Holten",13,38178,34.1,"2020-04-02"
"603-20200402","603","Rijswijk",13,54432,23.9,"2020-04-02"
"1669-20200402","1669","Roerdalen",17,20572,82.6,"2020-04-02"
"957-20200402","957","Roermond",30,58254,51.5,"2020-04-02"
"1674-20200402","1674","Roosendaal",12,77226,15.5,"2020-04-02"
"599-20200402","599","Rotterdam",151,651376,23.2,"2020-04-02"
"277-20200402","277","Rozendaal",1,1705,58.7,"2020-04-02"
"840-20200402","840","Rucphen",4,22873,17.5,"2020-04-02"
"518-20200402","518","s-Gravenhage",112,545163,20.5,"2020-04-02"
"441-20200402","441","Schagen",10,46482,21.5,"2020-04-02"
"279-20200402","279","Scherpenzeel",0,9880,0,"2020-04-02"
"606-20200402","606","Schiedam",21,78739,26.7,"2020-04-02"
"88-20200402","88","Schiermonnikoog",0,947,0,"2020-04-02"
"1676-20200402","1676","Schouwen-Duiveland",7,33858,20.7,"2020-04-02"
"965-20200402","965","Simpelveld",8,10552,75.8,"2020-04-02"
"1702-20200402","1702","Sint Anthonis",14,11672,119.9,"2020-04-02"
"845-20200402","845","Sint-Michielsgestel",15,29203,51.4,"2020-04-02"
"1883-20200402","1883","Sittard-Geleen",55,92422,59.5,"2020-04-02"
"610-20200402","610","Sliedrecht",2,25217,7.9,"2020-04-02"
"1714-20200402","1714","Sluis",4,23217,17.2,"2020-04-02"
"90-20200402","90","Smallingerland",5,56154,8.9,"2020-04-02"
"342-20200402","342","Soest",10,46607,21.5,"2020-04-02"
"847-20200402","847","Someren",14,19376,72.3,"2020-04-02"
"848-20200402","848","Son en Breugel",19,17321,109.7,"2020-04-02"
"37-20200402","37","Stadskanaal",0,31688,0,"2020-04-02"
"180-20200402","180","Staphorst",1,17144,5.8,"2020-04-02"
"532-20200402","532","Stede Broec",11,21734,50.6,"2020-04-02"
"851-20200402","851","Steenbergen",7,24501,28.6,"2020-04-02"
"1708-20200402","1708","Steenwijkerland",7,44139,15.9,"2020-04-02"
"971-20200402","971","Stein",24,25000,96,"2020-04-02"
"1904-20200402","1904","Stichtse Vecht",18,64928,27.7,"2020-04-02"
"1900-20200402","1900","Súdwest-Fryslân",13,89987,14.4,"2020-04-02"
"715-20200402","715","Terneuzen",14,54438,25.7,"2020-04-02"
"93-20200402","93","Terschelling",0,4889,0,"2020-04-02"
"448-20200402","448","Texel",2,13573,14.7,"2020-04-02"
"1525-20200402","1525","Teylingen",7,37426,18.7,"2020-04-02"
"716-20200402","716","Tholen",25,25758,97.1,"2020-04-02"
"281-20200402","281","Tiel",21,42161,49.8,"2020-04-02"
"855-20200402","855","Tilburg",124,219800,56.4,"2020-04-02"
"183-20200402","183","Tubbergen",8,21279,37.6,"2020-04-02"
"1700-20200402","1700","Twenterand",6,33743,17.8,"2020-04-02"
"1730-20200402","1730","Tynaarlo",5,33879,14.8,"2020-04-02"
"737-20200402","737","Tytsjerksteradiel",3,32046,9.4,"2020-04-02"
"856-20200402","856","Uden",77,42122,182.8,"2020-04-02"
"450-20200402","450","Uitgeest",3,13649,22,"2020-04-02"
"451-20200402","451","Uithoorn",9,29466,30.5,"2020-04-02"
"184-20200402","184","Urk",12,21033,57.1,"2020-04-02"
"344-20200402","344","Utrecht",90,357694,25.2,"2020-04-02"
"1581-20200402","1581","Utrechtse Heuvelrug",11,49601,22.2,"2020-04-02"
"981-20200402","981","Vaals",6,10099,59.4,"2020-04-02"
"994-20200402","994","Valkenburg aan de Geul",3,16360,18.3,"2020-04-02"
"858-20200402","858","Valkenswaard",8,31200,25.6,"2020-04-02"
"47-20200402","47","Veendam",1,27387,3.7,"2020-04-02"
"345-20200402","345","Veenendaal",7,66491,10.5,"2020-04-02"
"717-20200402","717","Veere",3,21885,13.7,"2020-04-02"
"861-20200402","861","Veldhoven",9,45458,19.8,"2020-04-02"
"453-20200402","453","Velsen",16,68660,23.3,"2020-04-02"
"983-20200402","983","Venlo",72,101797,70.7,"2020-04-02"
"984-20200402","984","Venray",23,43604,52.7,"2020-04-02"
"1961-20200402","1961","Vijfheerenlanden",12,56816,21.1,"2020-04-02"
"622-20200402","622","Vlaardingen",16,73445,21.8,"2020-04-02"
"96-20200402","96","Vlieland",0,1152,0,"2020-04-02"
"718-20200402","718","Vlissingen",6,44365,13.5,"2020-04-02"
"986-20200402","986","Voerendaal",7,12471,56.1,"2020-04-02"
"626-20200402","626","Voorschoten",5,25603,19.5,"2020-04-02"
"285-20200402","285","Voorst",6,24546,24.4,"2020-04-02"
"865-20200402","865","Vught",25,26554,94.1,"2020-04-02"
"1949-20200402","1949","Waadhoeke",4,46079,8.7,"2020-04-02"
"866-20200402","866","Waalre",1,17454,5.7,"2020-04-02"
"867-20200402","867","Waalwijk",15,48620,30.9,"2020-04-02"
"627-20200402","627","Waddinxveen",6,29293,20.5,"2020-04-02"
"289-20200402","289","Wageningen",6,39673,15.1,"2020-04-02"
"629-20200402","629","Wassenaar",2,26214,7.6,"2020-04-02"
"852-20200402","852","Waterland",8,17422,45.9,"2020-04-02"
"988-20200402","988","Weert",31,50107,61.9,"2020-04-02"
"457-20200402","457","Weesp",5,19729,25.3,"2020-04-02"
"1960-20200402","1960","West Betuwe",15,51198,29.3,"2020-04-02"
"668-20200402","668","West Maas en Waal",9,19320,46.6,"2020-04-02"
"1969-20200402","1969","Westerkwartier",10,63375,15.8,"2020-04-02"
"1701-20200402","1701","Westerveld",2,19460,10.3,"2020-04-02"
"293-20200402","293","Westervoort",3,14973,20,"2020-04-02"
"1950-20200402","1950","Westerwolde",4,25796,15.5,"2020-04-02"
"1783-20200402","1783","Westland",28,110357,25.4,"2020-04-02"
"98-20200402","98","Weststellingwerf",2,25916,7.7,"2020-04-02"
"614-20200402","614","Westvoorne",4,14728,27.2,"2020-04-02"
"189-20200402","189","Wierden",2,24440,8.2,"2020-04-02"
"296-20200402","296","Wijchen",31,41124,75.4,"2020-04-02"
"1696-20200402","1696","Wijdemeren",5,24360,20.5,"2020-04-02"
"352-20200402","352","Wijk bij Duurstede",7,23910,29.3,"2020-04-02"
"294-20200402","294","Winterswijk",1,28865,3.5,"2020-04-02"
"873-20200402","873","Woensdrecht",4,21883,18.3,"2020-04-02"
"632-20200402","632","Woerden",26,52294,49.7,"2020-04-02"
"880-20200402","880","Wormerland",10,16299,61.4,"2020-04-02"
"351-20200402","351","Woudenberg",2,13362,15,"2020-04-02"
"479-20200402","479","Zaanstad",35,156711,22.3,"2020-04-02"
"297-20200402","297","Zaltbommel",10,28901,34.6,"2020-04-02"
"473-20200402","473","Zandvoort",6,17116,35.1,"2020-04-02"
"50-20200402","50","Zeewolde",5,22656,22.1,"2020-04-02"
"355-20200402","355","Zeist",15,64932,23.1,"2020-04-02"
"299-20200402","299","Zevenaar",20,43740,45.7,"2020-04-02"
"637-20200402","637","Zoetermeer",23,125283,18.4,"2020-04-02"
"638-20200402","638","Zoeterwoude",2,8611,23.2,"2020-04-02"
"1892-20200402","1892","Zuidplas",10,43894,22.8,"2020-04-02"
"879-20200402","879","Zundert",14,21821,64.2,"2020-04-02"
"301-20200402","301","Zutphen",9,47942,18.8,"2020-04-02"
"1896-20200402","1896","Zwartewaterland",21,22690,92.6,"2020-04-02"
"642-20200402","642","Zwijndrecht",9,44741,20.1,"2020-04-02"
"193-20200402","193","Zwolle",33,128831,25.6,"2020-04-02"
"796-20200402","796","'s-Hertogenbosch",72,155113,46.4,"2020-04-02"
"1680-20200402","1680","Aa en Hunze",1,25453,3.9,"2020-04-02"
"358-20200402","358","Aalsmeer",6,31857,18.8,"2020-04-02"
"197-20200402","197","Aalten",1,27117,3.7,"2020-04-02"
"59-20200402","59","Achtkarspelen",0,27836,0,"2020-04-02"
"482-20200402","482","Alblasserdam",3,20165,14.9,"2020-04-02"
"613-20200402","613","Albrandswaard",5,25589,19.5,"2020-04-02"
"361-20200402","361","Alkmaar",24,109444,21.9,"2020-04-02"
"141-20200402","141","Almelo",12,73080,16.4,"2020-04-02"
"34-20200402","34","Almere",61,211840,28.8,"2020-04-02"
"484-20200402","484","Alphen aan den Rijn",33,111889,29.5,"2020-04-02"
"1723-20200402","1723","Alphen-Chaam",10,10213,97.9,"2020-04-02"
"1959-20200402","1959","Altena",19,55980,33.9,"2020-04-02"
"60-20200402","60","Ameland",0,3718,0,"2020-04-02"
"307-20200402","307","Amersfoort",28,157279,17.8,"2020-04-02"
"362-20200402","362","Amstelveen",31,91691,33.8,"2020-04-02"
"363-20200402","363","Amsterdam",263,872779,30.1,"2020-04-02"
"200-20200402","200","Apeldoorn",22,163829,13.4,"2020-04-02"
"3-20200402","3","Appingedam",1,11644,8.6,"2020-04-02"
"202-20200402","202","Arnhem",33,161368,20.5,"2020-04-02"
"106-20200402","106","Assen",7,68606,10.2,"2020-04-02"
"743-20200402","743","Asten",6,16734,35.9,"2020-04-02"
"744-20200402","744","Baarle-Nassau",1,6860,14.6,"2020-04-02"
"308-20200402","308","Baarn",4,24873,16.1,"2020-04-02"
"489-20200402","489","Barendrecht",18,48713,37,"2020-04-02"
"203-20200402","203","Barneveld",8,59077,13.5,"2020-04-02"
"888-20200402","888","Beek",7,15868,44.1,"2020-04-02"
"1954-20200402","1954","Beekdaelen",28,35976,77.8,"2020-04-02"
"370-20200402","370","Beemster",2,10025,20,"2020-04-02"
"889-20200402","889","Beesel",11,13483,81.6,"2020-04-02"
"1945-20200402","1945","Berg en Dal",19,34990,54.3,"2020-04-02"
"1724-20200402","1724","Bergeijk",5,18638,26.8,"2020-04-02"
"893-20200402","893","Bergen (L.)",3,13085,22.9,"2020-04-02"
"373-20200402","373","Bergen (NH.)",11,29844,36.9,"2020-04-02"
"748-20200402","748","Bergen op Zoom",13,67489,19.3,"2020-04-02"
"1859-20200402","1859","Berkelland",1,43748,2.3,"2020-04-02"
"1721-20200402","1721","Bernheze",65,31247,208,"2020-04-02"
"753-20200402","753","Best",21,29985,70,"2020-04-02"
"209-20200402","209","Beuningen",14,25891,54.1,"2020-04-02"
"375-20200402","375","Beverwijk",7,41613,16.8,"2020-04-02"
"1728-20200402","1728","Bladel",11,20395,53.9,"2020-04-02"
"376-20200402","376","Blaricum",5,11536,43.3,"2020-04-02"
"377-20200402","377","Bloemendaal",3,23570,12.7,"2020-04-02"
"1901-20200402","1901","Bodegraven-Reeuwijk",3,34869,8.6,"2020-04-02"
"755-20200402","755","Boekel",26,10784,241.1,"2020-04-02"
"1681-20200402","1681","Borger-Odoorn",1,25558,3.9,"2020-04-02"
"147-20200402","147","Borne",10,23313,42.9,"2020-04-02"
"654-20200402","654","Borsele",3,22738,13.2,"2020-04-02"
"756-20200402","756","Boxmeer",11,29371,37.5,"2020-04-02"
"757-20200402","757","Boxtel",9,30803,29.2,"2020-04-02"
"758-20200402","758","Breda",121,184271,65.7,"2020-04-02"
"501-20200402","501","Brielle",5,17282,28.9,"2020-04-02"
"1876-20200402","1876","Bronckhorst",1,36052,2.8,"2020-04-02"
"213-20200402","213","Brummen",5,20756,24.1,"2020-04-02"
"899-20200402","899","Brunssum",21,27817,75.5,"2020-04-02"
"312-20200402","312","Bunnik",4,15191,26.3,"2020-04-02"
"313-20200402","313","Bunschoten",2,21867,9.1,"2020-04-02"
"214-20200402","214","Buren",5,26742,18.7,"2020-04-02"
"502-20200402","502","Capelle aan den IJssel",23,67151,34.3,"2020-04-02"
"383-20200402","383","Castricum",8,35988,22.2,"2020-04-02"
"109-20200402","109","Coevorden",6,35296,17,"2020-04-02"
"1706-20200402","1706","Cranendonck",38,21166,179.5,"2020-04-02"
"1684-20200402","1684","Cuijk",6,25139,23.9,"2020-04-02"
"216-20200402","216","Culemborg",17,28956,58.7,"2020-04-02"
"148-20200402","148","Dalfsen",9,28585,31.5,"2020-04-02"
"1891-20200402","1891","Dantumadiel",1,18916,5.3,"2020-04-02"
"310-20200402","310","De Bilt",13,43124,30.1,"2020-04-02"
"1940-20200402","1940","De Fryske Marren",11,51567,21.3,"2020-04-02"
"736-20200402","736","De Ronde Venen",16,44457,36,"2020-04-02"
"1690-20200402","1690","De Wolden",2,24327,8.2,"2020-04-02"
"503-20200402","503","Delft",23,103659,22.2,"2020-04-02"
"10-20200402","10","Delfzijl",4,24666,16.2,"2020-04-02"
"400-20200402","400","Den Helder",6,56305,10.7,"2020-04-02"
"762-20200402","762","Deurne",39,32474,120.1,"2020-04-02"
"150-20200402","150","Deventer",25,100718,24.8,"2020-04-02"
"384-20200402","384","Diemen",4,30781,13,"2020-04-02"
"1774-20200402","1774","Dinkelland",15,26470,56.7,"2020-04-02"
"221-20200402","221","Doesburg",3,11078,27.1,"2020-04-02"
"222-20200402","222","Doetinchem",5,58009,8.6,"2020-04-02"
"766-20200402","766","Dongen",10,26226,38.1,"2020-04-02"
"505-20200402","505","Dordrecht",32,119300,26.8,"2020-04-02"
"498-20200402","498","Drechterland",1,19717,5.1,"2020-04-02"
"1719-20200402","1719","Drimmelen",14,27274,51.3,"2020-04-02"
"303-20200402","303","Dronten",12,41569,28.9,"2020-04-02"
"225-20200402","225","Druten",13,18918,68.7,"2020-04-02"
"226-20200402","226","Duiven",4,25124,15.9,"2020-04-02"
"1711-20200402","1711","Echt-Susteren",22,31618,69.6,"2020-04-02"
"385-20200402","385","Edam-Volendam",10,36201,27.6,"2020-04-02"
"228-20200402","228","Ede",31,117166,26.5,"2020-04-02"
"317-20200402","317","Eemnes",1,9247,10.8,"2020-04-02"
"770-20200402","770","Eersel",15,19314,77.7,"2020-04-02"
"1903-20200402","1903","Eijsden-Margraten",24,25753,93.2,"2020-04-02"
"772-20200402","772","Eindhoven",69,234456,29.4,"2020-04-02"
"230-20200402","230","Elburg",4,23161,17.3,"2020-04-02"
"114-20200402","114","Emmen",6,107055,5.6,"2020-04-02"
"388-20200402","388","Enkhuizen",14,18592,75.3,"2020-04-02"
"153-20200402","153","Enschede",28,159734,17.5,"2020-04-02"
"232-20200402","232","Epe",10,33186,30.1,"2020-04-02"
"233-20200402","233","Ermelo",11,27005,40.7,"2020-04-02"
"777-20200402","777","Etten-Leur",26,43880,59.3,"2020-04-02"
"779-20200402","779","Geertruidenberg",8,21538,37.1,"2020-04-02"
"1771-20200402","1771","Geldrop-Mierlo",13,39733,32.7,"2020-04-02"
"1652-20200402","1652","Gemert-Bakel",57,30725,185.5,"2020-04-02"
"907-20200402","907","Gennep",11,16924,65,"2020-04-02"
"784-20200402","784","Gilze en Rijen",15,26438,56.7,"2020-04-02"
"1924-20200402","1924","Goeree-Overflakkee",29,50049,57.9,"2020-04-02"
"664-20200402","664","Goes",7,38080,18.4,"2020-04-02"
"785-20200402","785","Goirle",19,23906,79.5,"2020-04-02"
"1942-20200402","1942","Gooise Meren",15,58041,25.8,"2020-04-02"
"512-20200402","512","Gorinchem",10,37009,27,"2020-04-02"
"513-20200402","513","Gouda",15,73443,20.4,"2020-04-02"
"786-20200402","786","Grave",11,12437,88.4,"2020-04-02"
"14-20200402","14","Groningen",12,232922,5.2,"2020-04-02"
"1729-20200402","1729","Gulpen-Wittem",10,14176,70.5,"2020-04-02"
"158-20200402","158","Haaksbergen",6,24309,24.7,"2020-04-02"
"788-20200402","788","Haaren",14,14371,97.4,"2020-04-02"
"392-20200402","392","Haarlem",32,162961,19.6,"2020-04-02"
